"candidate_group","gene_or_family","axis","evidence_tier","source_system","key_evidence","lth_use","priority","caveat","primary_sources","doi_or_url"
"Immediate wound response","c-Fos/FOS/AP-1","wound","A","Acropora millepora; Acropora aspera","Upregulated at the earliest regeneration stage in A. millepora and recurrently after injury in A. aspera.","Positive control for Day 1 and Day 3 wounded vs unwounded margins; test whether heat preserves the acute wound signal.","high","AP-1 behavior is transient; LTH Day 1 is about 24 h post-wound, later than Xu stage 1 at 6 h.","Xu 2023; van de Water 2015 Mol Ecol; van de Water 2015 Hydrobiologia","10.3389/fevo.2022.979278; 10.1111/mec.13257; 10.1007/s10750-015-2243-z"
"Immediate wound response","c-Jun/JUN/AP-1","wound_heat_interaction","A","Acropora aspera","Injury upregulated cJun, with further increase under elevated temperature in one heat x injury experiment.","Useful for heat x wound interaction at early timepoints.","medium","cJun was stable in the 10-day injury time course, so it is less consistent than c-Fos.","van de Water 2015 Hydrobiologia; van de Water 2015 Mol Ecol","10.1007/s10750-015-2243-z; 10.1111/mec.13257"
"Wound signaling","JNK/MAPK/ERK/MEKK1/p38","wound","A","Acropora millepora; Acropora aspera; Turbinaria peltata","JNK and MAPK pathways are enriched or responsive during coral injury; ERK2, MEKK1, and p38 vary across A. aspera injury phases.","Score early wound signaling modules; ask whether 31 C shifts timing or magnitude.","high","Specific MAPK members can move in different directions by species and timepoint.","Xu 2023; van de Water 2015 Mol Ecol; Ren 2026","10.3389/fevo.2022.979278; 10.1111/mec.13257; 10.1016/j.aqrep.2026.103629"
"Innate immune signaling","TLR/NOD/NF-kB/TRAF6/TIR-1","wound_heat_immunity","A","Acropora aspera; Acropora millepora; Acropora meta-analysis","Injury activates TLR/NOD and NF-kB-linked immune genes; mild heat can reduce NF-kB/TRAF6 in injured A. aspera.","Test whether heat changes immune signaling while tissue closure still proceeds.","high","NF-kB also appears in heat-stress biomarker reviews, so interpret direction by contrast and time.","van de Water 2015 Mol Ecol; van de Water 2015 Hydrobiologia; Xu 2023; Dixon 2020; Molinari 2025","10.1111/mec.13257; 10.1007/s10750-015-2243-z; 10.3389/fevo.2022.979278; 10.1111/mec.15535; 10.1111/mec.17753"
"Regeneration patterning","Wnt ligands/beta-catenin/APC/Wntless","regeneration","A","Acropora millepora","Wnt ligands, Wntless, beta-catenin, and APC show dynamic expression in A. millepora regeneration and coenosarc growth.","Score later regeneration and patterning, especially Day 10 wounded 31 C vs 28 C.","high","Use Wnt-family/orthogroup scores. Wnt3 specifically is not verified from Xu and should not be singled out without orthology evidence.","Xu 2023","10.3389/fevo.2022.979278"
"Regeneration growth signaling","FGF ligands/FGFR/Sprouty","regeneration","A","Acropora millepora; Porites lobata; cnidarian review","FGF pathway components and sprouty are dynamic in A. millepora regeneration; FGFR1 appears in fragmentation and biomarker contexts.","Score regeneration/growth-factor signaling at Day 10 and in wound time course.","high","FGF ligands and receptors are paralog-rich; map to A. pulchra orthologs before naming loci.","Xu 2023; Lock 2022; Molinari 2025","10.3389/fevo.2022.979278; 10.1002/ece3.9345; 10.1111/mec.17753"
"ECM remodeling enzymes","ADAMTS/Zn-metalloprotease/MMP/astacin/gelatinase","wound_ecm","A/B","Acropora millepora; Acropora hyacinthus disease; cnidarian review","ADAMTS18-like is upregulated in Acropora regeneration; MMP/Zn-MP recur in stress biomarker and disease/wound-related literature.","Score ECM remodeling during wound closure and regeneration.","high","Xu supports ADAMTS, not generic MMPs. MMP rows should be treated as family-level support unless A. pulchra orthology is clear.","Xu 2023; Molinari 2025; Acropora hyacinthus white syndrome study","10.3389/fevo.2022.979278; 10.1111/mec.17753"
"ECM and cell-matrix signaling","Collagens/laminin/thrombospondin/HSPG/DAG1/SDC1","regeneration_ecm","A","Acropora muricata","Single-cell regeneration data identify collagen, thrombospondin, heparan sulfate proteoglycan, laminin, DAG1, and SDC1 signaling changes around calicoblasts and gastrodermis.","Interpret Day 10 regeneration failure and wound-margin tissue remodeling.","high","Cell-type signal may dilute in bulk margin RNA-seq; module scoring is safer than single-gene interpretation.","Han 2025","10.1038/s42003-025-08089-6"
"Tissue barrier and adhesion","Grainyhead/integrins/cadherin/cell-adhesion genes","heat_wound_barrier","B","Acropora hyacinthus; Acropora heat studies; cnidarian wound context","Heat stress compromises epithelial integrity in A. hyacinthus; cell adhesion is part of frontloaded and dampened heat-response modules.","Use as a bridge between heat stress and wound-barrier maintenance.","medium","Traylor-Knowles is tissue/cellular evidence more than bulk DEG evidence for LTH candidate genes.","Traylor-Knowles 2019; Barshis 2013; Dilworth 2024; Nematostella wound context","10.7717/peerj.6510; 10.1073/pnas.1210224110; 10.1098/rspb.2023.2447"
"Regenerative cell fate","Epidermal-to-calicoblast differentiation markers","skeletal_regeneration","A","Acropora muricata","scRNA-seq suggests epidermal cells differentiate into calicoblasts during regeneration, with wounded tissue enriched for early calicoblast states.","Central test for whether heat blocks skeletal regeneration while tissue closure remains intact.","high","Bulk RNA-seq cannot directly count cell states unless marker sets are strong.","Han 2025","10.1038/s42003-025-08089-6"
"Skeletal matrix","Galaxin/galaxin2/SAARP/mucin/USOMP/CUB/acidic skeletal organic matrix proteins","skeletal_regeneration","A","Acropora millepora; Acropora muricata","Galaxin appears in A. millepora regeneration; Han identifies galaxin2, SAARP, mucin, USOMP, CUB, and acidic skeletal matrix proteins in calicoblast trajectories.","Score biomineralization and new-corallite formation at Day 10.","high","These are family-level candidates; annotation quality and paralogs matter.","Xu 2023; Han 2025","10.3389/fevo.2022.979278; 10.1038/s42003-025-08089-6"
"Carbonate chemistry and calcification","Carbonic anhydrase/Ca2/SLC4","skeletal_regeneration_heat","A/C","Acropora muricata; Acropora millepora; heat biomarker reviews","Carbonic anhydrase 2/Ca2 is upregulated in wounded calicoblast/symbiocyte contexts; calcium-ion transport appears in Acropora regeneration GO; SLC transporters recur in biomarker literature.","Score calcification and biomineralization response to 31 C.","high","SLC4gamma is lab-note support unless mapped and source-verified; do not overstate without orthology.","Han 2025; Xu 2023; Louis 2017","10.1038/s42003-025-08089-6; 10.3389/fevo.2022.979278; 10.1016/j.cbpc.2016.08.007"
"Calcium handling","Calmodulin/calreticulin/calumenin/calcium ATPase/L-type calcium channel/PLC/IP3","wound_growth_heat","A/B","Porites lobata; Acropora muricata; Acropora heat-tolerance studies","Fragmentation induces calcium homeostasis disruption, calmodulin, calreticulin, calumenin, calcium ATPase, and phosphoinositide/IP3 signaling; Han links calmodulin, Ca2, and calumenin to biomineralization.","Interpret shared injury/stress modules and growth-regeneration allocation.","high","Porites microfragmentation is not the same as Acropora apical-tip regeneration.","Lock 2022; Han 2025; Dixon 2015; Louis 2017","10.1002/ece3.9345; 10.1038/s42003-025-08089-6; 10.1126/science.1261224; 10.1016/j.cbpc.2016.08.007"
"Oxidative wound response","Catalase/peroxidasin/AOS-LOX/Cyba/SOD/GSH/LPO","wound_heat_redox","A/B","Acropora aspera; Acropora muricata; Turbinaria peltata","Wounded epidermal cells express catalase, Cyba, and peroxidasin homologs; heat x injury increases catalase in A. aspera; Turbinaria reports antioxidant peaks during early healing.","Score redox burden in wound and heat x wound contrasts.","high","Redox genes are general stress markers and not specific to regeneration.","Han 2025; Bonesso 2017; Ren 2026; Seneca 2009","10.1038/s42003-025-08089-6; 10.7717/peerj.3719; 10.1016/j.aqrep.2026.103629; 10.1007/s10126-009-9247-5"
"Melanin/coagulation response","Phenoloxidase/transglutaminase/hemolectin","wound_immunity","A/B","Acropora aspera; coral wound-cell literature","A. aspera injury increased phenoloxidase activity in two phases; transglutaminase and hemolectin frame coagulation and wound sealing.","Use as wound-healing support, especially if gene annotations are available.","medium","Phenoloxidase evidence is activity-based, not always direct transcript evidence.","van de Water 2015 Mol Ecol; Palmer 2011","10.1111/mec.13257; 10.1371/journal.pone.0023992"
"Complement and lectin immunity","C3/Bf/CTL-2/millectin/MASP/MAC/apextrin/Tx60/HL-2","wound_heat_symbiosis","A","Acropora aspera; Acropora millepora","Injury changes C3, Bf, CTL-2, millectin, HL-2, apextrin, and Tx60; heat also shifts complement/lectin expression.","Score immune-effector and symbiosis-establishment modules after injury.","high","Individual lectins can move in opposite directions; interpret as family/module behavior.","van de Water 2015 Mol Ecol; van de Water 2015 Hydrobiologia; Seneca 2009","10.1111/mec.13257; 10.1007/s10750-015-2243-z; 10.1007/s10126-009-9247-5"
"GFP-like and chromoprotein response","GFP-like proteins/chromoproteins","wound_heat_pigment","A","Acropora aspera; Acropora millepora; Acropora cf. tenuis","Injury and bleaching alter GFP-like and chromoprotein expression; sub-bleaching recovery papers also retain pigment-linked expression signals.","Bridge color-card/pigment phenotypes to expression modules.","medium","Direction differs across stress type, light environment, and recovery stage.","van de Water 2015 Mol Ecol; Bonesso 2017; Seneca 2009; Stick 2025","10.1111/mec.13257; 10.7717/peerj.3719; 10.1007/s10126-009-9247-5; 10.1007/s00338-025-02722-w"
"Proliferation","ODC1/RAC1/PCNA/cell-cycle genes","regeneration","B/D","Turbinaria peltata; lab planning notes","Ren reports odc1 and rac1 in early tissue healing; PCNA is a lab-planning proliferation marker.","Use only as a broad proliferation/cell-cycle module unless A. pulchra annotation is strong.","medium","PCNA is not verified from Xu and should not be used as a headline coral-regeneration gene without source support.","Ren 2026; lab NSF Aim 2 notes","10.1016/j.aqrep.2026.103629; lab-internal"
"Extracellular stress and proteolysis","Itm2b/Ctsl/Psap/PZP","regeneration_stress","A","Acropora muricata","Han identifies extracellular-space and stress-related genes including Itm2b, procathepsin L, prosaposin, and pregnancy-zone proteins in wounded tissue.","Exploratory markers for wounded-tissue remodeling and oxidative protection.","medium","Specific functional interpretation in corals remains tentative.","Han 2025","10.1038/s42003-025-08089-6"
"Iron homeostasis","Ferritin/transferrin/melanotransferrin","heat_wound_symbiosis","A/B","Acropora muricata; Acropora millepora; Porites lobata","Ferritin and transferrin are upregulated in wounded or stress contexts and link iron handling, ROS protection, and symbiosis.","Score oxidative-stress and symbiosis-linked repair modules.","medium","May reflect general stress, symbiont state, or cell composition.","Han 2025; Granados-Cifuentes 2013; Lock 2022","10.1038/s42003-025-08089-6; 10.1186/1471-2164-14-228; 10.1002/ece3.9345"
"Fatty-acid and lipid metabolism","Acsl4/fatty-acid metabolism/lipid droplet genes","regeneration_symbiosis_energy","A/B","Acropora muricata; Acropora palmata disease/wound context","Han reports Acsl4 upregulated in wounded symbiocytes; disease/wound transcriptomes identify fatty-acid metabolic processes.","Link expression to symbiont density, energy storage, and repair costs.","medium","Not specific to heat or regeneration by itself.","Han 2025; Acropora palmata disease transcriptomics","10.1038/s42003-025-08089-6"
"Translation and ribosome state","Ribosomal proteins/elongation factors/translation initiation factors","regeneration_stress","A/B","Acropora muricata; Porites lobata; Acropora heat studies","Han reports downregulated ribosomal/elongation genes in wounded contexts; fragmentation and heat studies show protein synthesis and turnover shifts.","Interpret broad resource-allocation and stress-state modules.","medium","Often reflects global physiology or cell composition rather than a specific pathway.","Han 2025; Lock 2022; DeSalvo 2010; Dixon 2020","10.1038/s42003-025-08089-6; 10.1002/ece3.9345; 10.3354/meps08372; 10.1111/mec.15535"
"Energy metabolism","Mitochondrial ETC/ATP synthase/NADH/glycolysis/TCA/cytochrome oxidase","heat_wound_energy","A/B","Porites lobata; Acropora muricata; Acropora palmata","Fragmentation can increase energy production genes; Han reports mitochondrial ATP-related shifts; heat transcriptomes often alter mitochondrial and metabolic genes.","Test whether 31 C diverts or suppresses energy metabolism during regeneration.","high","Metabolic direction depends on stress intensity and whether samples capture damage or recovery.","Lock 2022; Han 2025; DeSalvo 2010; Dixon 2015; Dixon 2020","10.1002/ece3.9345; 10.1038/s42003-025-08089-6; 10.3354/meps08372; 10.1126/science.1261224; 10.1111/mec.15535"
"Heat shock chaperones","HSP70/HSPA5/HSP75","heat","A","Acropora hyacinthus; Acropora nana; Acropora palmata; Acropora cf. tenuis","HSP70 is frontloaded in tolerant A. hyacinthus; HSP75 appears in acclimation-associated expression; HSPs are acute heat-response genes in classic heat studies.","Score proteostasis but do not require upregulation after chronic exposure.","high","HSP induction is time-sensitive and may be absent or dampened after acclimation.","Barshis 2013; Bay and Palumbi 2015; DeSalvo 2010; Stick 2025; Louis 2017","10.1073/pnas.1210224110; 10.1093/gbe/evv085; 10.3354/meps08372; 10.1007/s00338-025-02722-w; 10.1016/j.cbpc.2016.08.007"
"Heat shock chaperones","HSP90/HSP40/DnaJ/HSP97/97 kDa HSP","heat_wound_proteostasis","A/B","Acropora aspera; Acropora muricata; Porites lobata; Acropora downingi","HSP90/HSP40/DnaJ/HSP97 respond in fragmentation, regeneration, or targeted heat-biomarker studies.","Score ER/proteostasis modules in heat and wound contrasts.","high","Older README omitted HSP90 from some sources because Barshis/Bay did not emphasize it; other coral studies do support it.","Lock 2022; Han 2025; Bonesso 2017; Javid 2025","10.1002/ece3.9345; 10.1038/s42003-025-08089-6; 10.7717/peerj.3719; 10.1016/j.marenvres.2025.107102"
"Small heat shock proteins","HSPB1/Hsp23/Hsp16.1/Hsp16.2","heat","A/C","Acropora hyacinthus; Pocillopora acuta; biomarker reviews","Small HSPs respond to heat in several coral studies and are included in biomarker reviews.","Use as acute or recovery-state markers, not sole heat evidence.","medium","Small HSPs may be lower in tolerant/frontloaded states or vary by sampling time.","Barshis 2013; Poquita-Du 2020; Louis 2017","10.1073/pnas.1210224110; 10.1016/j.cbpc.2016.08.007"
"Heat-shock regulation","HSF1/heat shock transcription factor","heat","A","Acropora millepora","CRISPR-induced HSF1 mutations reduce thermal tolerance in A. millepora larvae.","Prioritize as functional heat-tolerance regulator and upstream proteostasis candidate.","high","Larval functional validation does not prove adult margin expression effect.","Cleves et al. 2020","10.1073/pnas.1920779117"
